 age/yr       logL   logTef grav   logTc  logrho Xc,Yc Xc_C    Xc_O    Q_conv Q_disc  logL_H Q1_H  Q2_H    logL_He Q1_He Q2_He  logL_C logL_nu Q_Tmax stage
 1.97409E+09  1.260  3.705  3.150  7.662  4.611  0.982 1.39E-4 1.24E-3 0.0000 0.2157  1.259 0.1174 0.1332  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 1.97837E+09  1.330  3.702  3.068  7.672  4.679  0.982 1.39E-4 1.24E-3 0.0000 0.1944  1.328 0.1212 0.1344  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 1.98237E+09  1.396  3.699  2.990  7.680  4.739  0.982 1.39E-4 1.24E-3 0.0000 0.1836  1.393 0.1254 0.1360  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 1.98596E+09  1.457  3.696  2.916  7.688  4.791  0.982 1.39E-4 1.24E-3 0.0000 0.1770  1.454 0.1285 0.1379  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 1.98990E+09  1.520  3.693  2.840  7.696  4.847  0.982 1.39E-4 1.24E-3 0.0000 0.1720  1.517 0.1319 0.1403  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 1.99319E+09  1.579  3.690  2.770  7.702  4.892  0.982 1.39E-4 1.24E-3 0.0000 0.1685  1.576 0.1353 0.1426  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 1.99665E+09  1.641  3.687  2.696  7.710  4.940  0.982 1.39E-4 1.24E-3 0.0000 0.1671  1.638 0.1389 0.1453  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 1.99995E+09  1.701  3.684  2.623  7.717  4.985  0.982 1.39E-4 1.24E-3 0.0000 0.1669  1.700 0.1427 0.1482  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 2.00302E+09  1.760  3.681  2.551  7.723  5.027  0.982 1.39E-4 1.24E-3 0.0000 0.1669  1.757 0.1463 0.1512  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 2.00642E+09  1.819  3.677  2.478  7.731  5.073  0.982 1.39E-4 1.24E-3 0.0000 0.1669  1.816 0.1506 0.1548  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 2.01000E+09  1.878  3.673  2.405  7.740  5.123  0.982 1.39E-4 1.24E-3 0.0000 0.1669  1.874 0.1553 0.1589  0.000 0.0000 0.0000  0.000 -2.122  0.0000          
 2.01242E+09  1.898  3.672  2.380  7.747  5.157  0.982 1.39E-4 1.24E-3 0.0000 0.1669  1.894 0.1587 0.1619  0.000 0.0000 0.0000  0.000 -2.102  0.0000  L-M     
 2.01540E+09  1.837  3.676  2.457  7.753  5.198  0.982 1.39E-4 1.24E-3 0.0000 0.1669  1.830 0.1625 0.1652  0.000 0.0000 0.0000  0.000 -2.163  0.0000          
 2.01664E+09  1.775  3.681  2.536  7.756  5.214  0.982 1.39E-4 1.24E-3 0.0000 0.1669  1.768 0.1637 0.1663  0.000 0.0000 0.0000  0.000 -2.225  0.0000          
 2.01771E+09  1.716  3.684  2.608  7.757  5.227  0.982 1.39E-4 1.24E-3 0.0000 0.1669  1.710 0.1646 0.1670  0.000 0.0000 0.0000  0.000 -1.983  0.0000          
 2.01884E+09  1.659  3.687  2.679  7.757  5.239  0.982 1.39E-4 1.24E-3 0.0000 0.1674  1.652 0.1655 0.1678  0.000 0.0000 0.0000  0.000 -2.040  0.0000  L-m     
 2.02184E+09  1.720  3.684  2.604  7.754  5.265  0.982 1.39E-4 1.24E-3 0.0000 0.1688  1.717 0.1671 0.1690  0.000 0.0000 0.0000  0.000 -1.979  0.0000          
 2.02533E+09  1.778  3.681  2.533  7.749  5.294  0.982 1.39E-4 1.24E-3 0.0000 0.1705  1.777 0.1690 0.1707  0.000 0.0000 0.0000  0.000 -1.920  0.0000          
 2.02862E+09  1.837  3.677  2.459  7.744  5.320  0.982 1.39E-4 1.24E-3 0.0000 0.1723  1.837 0.1709 0.1725  0.000 0.0000 0.0000  0.000 -1.861  0.0000          
 2.03191E+09  1.898  3.673  2.383  7.739  5.347  0.982 1.39E-4 1.24E-3 0.0000 0.1744  1.897 0.1732 0.1746  0.000 0.0000 0.0000  0.000 -2.102  0.0000          
 2.03550E+09  1.968  3.669  2.297  7.735  5.376  0.982 1.39E-4 1.24E-3 0.0000 0.1771  1.966 0.1760 0.1773  0.000 0.0000 0.0000  0.000 -2.032  0.0000          
 2.03869E+09  2.028  3.665  2.221  7.733  5.402  0.982 1.39E-4 1.24E-3 0.0000 0.1800  2.026 0.1789 0.1801  0.000 0.0000 0.0000  0.000 -1.972  0.0000          
 2.04139E+09  2.095  3.661  2.137  7.732  5.426  0.982 1.39E-4 1.24E-3 0.0000 0.1828  2.093 0.1817 0.1828  0.000 0.0000 0.0000  0.000 -1.905  0.0000          
 2.04411E+09  2.160  3.656  2.052  7.733  5.451  0.982 1.39E-4 1.24E-3 0.0000 0.1860  2.158 0.1850 0.1861  0.000 0.0000 0.0000  0.000 -1.840  0.0000          
 2.04644E+09  2.225  3.653  1.976  7.735  5.474  0.982 1.39E-4 1.24E-3 0.0000 0.1893  2.223 0.1884 0.1893  0.000 0.0000 0.0000  0.000 -1.775  0.0000          
 2.04845E+09  2.284  3.649  1.903  7.738  5.496  0.982 1.39E-4 1.24E-3 0.0000 0.1925  2.281 0.1916 0.1926  0.000 0.0000 0.0000  0.000 -1.716  0.0000          
 2.05019E+09  2.342  3.645  1.829  7.742  5.517  0.982 1.39E-4 1.24E-3 0.0000 0.1957  2.339 0.1949 0.1958  0.000 0.0000 0.0000  0.000 -1.658  0.0000          
